price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated,log_price,zipcode_freq,city_freq
313000.0,3.0,1.5,1340,7912,1.5,0,0,3,1340,0,1955,2005,12.653961664405363,93,123
2384000.0,5.0,2.5,3650,9050,2.0,0,4,5,3370,280,1921,0,14.684290726630376,49,1573
342000.0,3.0,2.0,1930,11947,1.0,0,0,4,1930,0,1966,0,12.742568940017076,100,185
420000.0,3.0,2.25,2000,8030,1.0,0,0,4,1000,1000,1963,0,12.948012371209098,50,286
550000.0,4.0,2.5,1940,10500,1.0,0,0,4,1140,800,1976,1992,13.21767537538882,135,235
490000.0,2.0,1.0,880,6380,1.0,0,0,3,880,0,1938,1994,13.102162710901052,130,1573
335000.0,2.0,2.0,1350,2560,1.0,0,0,3,1350,0,1976,0,12.721888795877376,135,235
482000.0,4.0,2.5,2710,35868,2.0,0,0,3,2710,0,1989,0,13.085701467719382,96,96
452500.0,3.0,2.5,2430,88426,1.0,0,0,4,1570,860,1985,0,13.022545252064427,50,50
640000.0,4.0,2.0,1520,6200,1.5,0,0,3,1520,0,1945,2010,13.369225017834632,130,1573
463000.0,3.0,1.75,1710,7320,1.0,0,0,3,1710,0,1948,1994,13.045484492893252,88,36
1400000.0,4.0,2.5,2920,4000,1.5,0,0,5,1910,1010,1909,1988,14.151983508870948,49,1573
588500.0,3.0,1.75,2330,14892,1.0,0,0,3,1970,360,1980,0,13.285333904916367,98,175
365000.0,3.0,1.0,1090,6435,1.0,0,0,4,1090,0,1955,2009,12.807655372286902,66,1573
1200000.0,5.0,2.75,2910,9480,1.5,0,0,3,2910,0,1939,1969,13.997832948091215,49,1573
242500.0,3.0,1.5,1200,9720,1.0,0,0,4,1200,0,1965,0,12.398761113062513,100,185
419000.0,3.0,1.5,1570,6700,1.0,0,0,4,1570,0,1956,0,12.945628585536271,39,286
367500.0,4.0,3.0,3110,7231,2.0,0,0,3,3110,0,1997,0,12.814481318719762,83,176
257950.0,3.0,1.75,1370,5858,1.0,0,0,3,1370,0,1987,2000,12.460524923385575,56,58
275000.0,3.0,1.5,1180,10277,1.0,0,0,3,1180,0,1983,2009,12.524530013005734,50,50
750000.0,3.0,1.75,2240,10578,2.0,0,0,5,1550,690,1923,0,13.527829818844936,130,1573
435000.0,4.0,1.0,1450,8800,1.0,0,0,4,1450,0,1954,1979,12.983103608918752,110,286
626000.0,3.0,2.25,1750,1572,2.5,0,0,3,1470,280,2005,0,13.347107247525049,23,1573
612500.0,4.0,2.5,2730,12261,2.0,0,0,3,2730,0,1991,0,13.325305854052749,32,33
495000.0,4.0,1.75,1600,6380,1.0,0,0,3,1130,470,1959,1989,13.112315061750808,89,1573
285000.0,3.0,2.5,2090,10834,1.0,0,0,4,1360,730,1987,0,12.560247968016562,48,148
615000.0,3.0,1.75,2360,7291,1.0,0,0,4,1360,1000,1948,0,13.329379172803591,57,1573
698000.0,4.0,2.25,2200,11250,1.5,0,0,5,1300,900,1920,0,13.45597581440824,89,187
675000.0,5.0,2.5,2820,67518,2.0,0,0,3,2820,0,1979,2014,13.42246945133505,88,187
790000.0,3.0,2.5,2600,4750,1.0,0,0,4,1700,900,1951,1999,13.579789490265188,132,1573
382500.0,4.0,1.75,1560,8700,1.0,0,0,4,1560,0,1967,0,12.854486546624395,99,187
499950.0,4.0,2.5,2860,3345,2.0,0,0,3,2190,670,2004,2003,13.122265372602016,63,115
650000.0,4.0,2.0,1820,5000,1.5,0,1,3,1640,180,1945,2010,13.384729180332174,130,1573
625000.0,4.0,2.5,2820,8408,2.0,0,0,3,2820,0,2014,0,13.34550852871726,88,123
400000.0,4.0,2.5,3630,42884,1.5,0,0,3,2300,1330,1979,2014,12.899222326086994,83,176
604000.0,3.0,2.5,3240,33151,2.0,0,2,3,3240,0,1995,0,13.31133113254472,95,148
440000.0,2.0,1.0,800,4850,1.0,0,0,4,800,0,1944,0,12.994532278619134,58,1573
287200.0,3.0,3.0,1850,19966,1.0,0,0,4,1090,760,1992,0,12.567937598044296,96,96
403000.0,3.0,2.0,1960,13100,1.0,0,2,5,1650,310,1957,0,12.90669432231532,59,18
750000.0,3.0,2.5,2390,6550,1.0,0,2,4,1440,950,1955,2009,13.527829818844936,65,1573
335000.0,3.0,2.25,1580,16215,1.0,0,0,4,1580,0,1978,2000,12.721888795877376,11,11
260000.0,4.0,2.0,1480,8625,1.0,0,0,4,1480,0,1974,0,12.468440756144114,28,293
308500.0,2.0,1.0,850,6174,1.0,0,0,4,850,0,1950,1983,12.639480363813412,88,123
439950.0,3.0,2.5,1770,2875,2.0,0,0,3,1770,0,1990,2009,12.99441863605669,65,1573
235000.0,2.0,1.0,1210,9400,1.0,0,0,2,1210,0,1949,0,12.367345048436391,66,1573
315000.0,3.0,1.0,1160,9180,1.0,0,0,3,1160,0,1968,1997,12.660331092405906,52,115
437500.0,3.0,2.25,1970,35100,2.0,0,0,4,1970,0,1977,0,12.98883427049148,95,187
407500.0,3.0,2.5,1930,10460,2.0,0,0,3,1930,0,1996,0,12.917798665647773,106,293
445700.0,3.0,2.5,1270,1180,3.0,0,0,3,1270,0,2001,0,13.007403602593786,58,1573
838000.0,4.0,2.5,3310,42998,2.0,0,0,3,3310,0,2001,0,13.63877457278093,135,235
630000.0,4.0,2.75,2710,37277,2.0,0,0,3,2710,0,2000,0,13.353476685668044,95,187
550000.0,3.0,1.75,2910,35200,1.5,0,0,3,2910,0,1979,2014,13.21767537538882,83,175
805000.0,3.0,2.0,2710,4500,1.5,0,0,4,1880,830,1929,0,13.598598798635951,130,1573
284000.0,3.0,1.75,1800,23103,1.0,0,0,3,1800,0,1968,1997,12.556733038263904,22,22
470000.0,5.0,2.5,2210,9655,1.0,0,0,3,1460,750,1976,0,13.060490101343552,32,33
430000.0,4.0,1.5,1920,10000,1.0,0,0,4,1070,850,1954,1979,12.971542813248435,110,286
491500.0,4.0,1.75,2190,125452,1.0,0,2,3,2190,0,1968,1997,13.105219253155283,83,176
785000.0,5.0,3.25,3660,11995,2.0,0,2,3,3660,0,2006,0,13.573440270649083,71,71
385000.0,3.0,3.25,1320,1327,2.0,0,0,3,1040,280,2008,0,12.861001210669146,68,1573
295000.0,2.0,2.5,1630,1368,2.0,0,0,3,1280,350,2009,0,12.59473402514672,66,1573
555000.0,4.0,2.5,3310,6500,2.0,0,0,3,3310,0,2012,1912,13.22672519452875,71,71
459990.0,3.0,2.5,2680,5539,2.0,0,0,3,2680,0,2013,1923,13.038962203056483,50,50
625000.0,4.0,3.25,2730,54014,1.0,0,0,3,1560,1170,2007,0,13.34550852871726,106,293
300000.0,3.0,2.5,2540,5050,2.0,0,0,3,2540,0,2006,0,12.611541086966117,100,185
625000.0,4.0,2.75,2920,6605,2.0,0,0,3,2920,0,2012,1912,13.34550852871726,106,293
553000.0,2.0,1.0,900,5000,1.0,0,0,3,900,0,1944,0,13.223115088821102,132,1573
379880.0,3.0,2.5,1650,14054,1.0,0,0,4,1130,520,1986,0,12.84761332476366,95,187
310000.0,3.0,1.0,1010,9945,1.0,0,0,4,1010,0,1973,0,12.644330802262578,71,71
775000.0,2.0,2.5,2680,7392,1.0,0,0,3,2680,0,2004,2003,13.560619598657231,98,235
365000.0,3.0,2.5,2200,7350,1.0,0,0,5,1570,630,1988,0,12.807655372286902,95,293
331950.0,4.0,2.5,2530,9933,2.0,0,2,3,2010,520,1990,2009,12.712742646644651,83,176
783500.0,3.0,2.5,2850,7130,2.0,0,0,3,1990,860,1980,0,13.571527617101584,66,1573
628000.0,4.0,2.0,2280,6010,1.0,0,0,3,1140,1140,1900,2005,13.350297037805756,66,1573
560000.0,3.0,2.5,1900,8744,2.0,0,0,3,1900,0,1987,2000,13.235693848424024,98,175
900000.0,3.0,1.0,1330,77972,1.0,0,0,3,1330,0,1928,1954,13.71015115341694,89,187
531000.0,2.0,3.0,1270,1175,2.0,0,0,3,1110,160,2000,0,13.182519183461476,148,1573
831000.0,4.0,3.0,2170,4000,2.0,0,0,4,1610,560,1982,2011,13.630386277206297,69,1573
780000.0,4.0,2.5,2730,10281,2.0,0,2,3,2730,0,1996,0,13.567050480716237,98,175
755000.0,4.0,2.5,2120,10202,1.0,0,0,4,1620,500,1960,2001,13.534474352733596,29,286
705380.0,3.0,2.5,2490,4343,2.0,0,0,3,2490,0,2003,0,13.466493361349034,88,187
627000.0,4.0,2.25,1990,7712,1.0,0,0,3,1210,780,1973,2013,13.348703414510116,95,187
865000.0,4.0,3.0,3690,9892,2.0,0,0,3,3690,0,1998,2006,13.670485941982712,83,175
580000.0,2.0,1.0,2540,7000,1.0,0,0,5,1320,1220,1942,0,13.270785106659046,79,1573
410000.0,3.0,2.25,1800,36704,1.0,0,0,4,1360,440,1978,2000,12.923914877701906,95,187
485000.0,4.0,3.0,2340,7048,1.0,0,0,4,1340,1000,1979,0,13.091906231773164,99,187
400000.0,2.0,1.75,2110,9519,1.0,0,0,2,2110,0,1948,0,12.899222326086994,88,123
549000.0,2.0,1.0,1140,5400,1.0,0,0,5,1140,0,1908,0,13.215855541983634,69,1573
620000.0,3.0,1.75,1480,2185,2.5,0,0,3,1480,0,2005,0,13.3374763699232,89,187
405000.0,2.0,3.0,1410,1240,2.0,0,0,3,1140,270,2006,0,12.91164481522143,57,1573
232000.0,2.0,1.0,1200,8063,1.0,0,0,4,1200,0,1958,1972,12.354496960983983,56,58
800866.0,5.0,2.5,3180,13806,2.0,0,0,4,3180,0,1990,0,13.593450169816984,89,187
650000.0,3.0,1.5,2160,9000,1.0,0,2,4,1400,760,1949,1985,13.384729180332174,53,1573
823000.0,6.0,1.75,2920,5000,2.5,0,0,4,2780,140,1908,0,13.620712694725295,66,1573
770000.0,3.0,2.0,2350,5700,1.5,0,0,4,1810,540,1939,1989,13.554147092530322,69,1573
524000.0,3.0,1.75,1560,5520,1.0,0,0,4,780,780,1944,0,13.169248871698304,68,1573
541125.0,5.0,2.75,2740,8426,1.0,0,0,4,1370,1370,1960,2001,13.20140743274442,110,286
670000.0,3.0,2.5,1680,2000,3.0,0,0,3,1680,0,1909,1998,13.415034483903348,49,1573
384900.0,5.0,2.5,3090,12750,1.0,0,0,3,1750,1340,1968,1997,12.860741437345885,95,148
406100.0,3.0,2.25,1410,1332,3.0,0,0,3,1410,0,2005,0,12.91435717611903,148,1573
1395000.0,5.0,3.5,4010,8510,2.0,0,1,5,2850,1160,1971,0,14.148405690083225,49,1573
736500.0,4.0,2.5,3180,21904,2.0,0,3,3,3180,0,2000,0,13.509665872657152,106,293
570000.0,3.0,2.25,2010,6000,1.0,0,0,3,1330,680,1975,0,13.25339339419516,135,235
787000.0,3.0,1.75,1330,7500,1.0,0,0,3,1330,0,1961,2004,13.575984798046765,74,286
328000.0,4.0,2.5,2370,6500,2.0,0,0,3,2370,0,1998,2006,12.700771936142122,83,176
435000.0,5.0,2.0,1840,9240,1.0,0,0,4,1540,300,1942,1958,12.983103608918752,93,1573
499000.0,4.0,2.5,2910,6479,2.0,0,0,3,2910,0,2006,0,13.120363378739665,71,71
501000.0,4.0,1.0,2070,7519,1.0,0,0,3,1160,910,1963,2008,13.124363376072994,50,286
1090000.0,4.0,2.5,4340,141570,2.5,0,0,3,4340,0,1992,0,13.901689171636098,98,235
400000.0,2.0,1.0,840,5510,1.0,0,0,3,840,0,1955,2005,12.899222326086994,57,1573
220000.0,4.0,1.5,1240,9600,1.0,0,0,3,1240,0,1971,0,12.301387370778713,95,148
657100.0,4.0,1.0,1390,4240,1.0,0,0,3,1050,340,1924,2011,13.395593014723184,148,1573
309950.0,4.0,2.75,2310,5000,2.0,0,0,3,2310,0,2006,0,12.644169499451689,96,96
300000.0,3.0,2.0,1050,10072,1.0,0,0,3,1050,0,1986,0,12.611541086966117,42,42
525888.0,5.0,1.75,2550,71874,1.0,0,0,5,1810,740,1960,0,13.172845442834628,95,187
740000.0,4.0,1.75,2010,3600,1.5,0,0,3,2010,0,1902,0,13.51440681653079,49,1573
340000.0,5.0,1.0,1120,9022,1.5,0,0,4,1120,0,1962,0,12.73670383776449,99,187
398750.0,3.0,2.5,2230,4000,2.0,0,0,3,2230,0,1954,2005,12.896092440915035,80,1573
206000.0,2.0,1.0,810,7158,1.0,0,0,5,810,0,1944,0,12.235636302128867,67,74
1030000.0,5.0,2.75,3190,16920,1.0,0,3,3,1690,1500,1976,0,13.845070331079134,110,286
600000.0,3.0,1.75,1670,39639,1.0,0,0,4,1670,0,1976,1992,13.304686600863562,83,175
379950.0,4.0,1.75,1970,9389,1.0,0,0,5,1140,830,1960,0,12.84779757601972,93,123
287000.0,3.0,1.0,1450,6000,1.0,0,0,4,1450,0,1953,1983,12.567240979056246,79,1573
2280000.0,7.0,8.0,13540,307752,3.0,0,4,3,9410,4130,1999,0,14.63968643952702,98,235
309950.0,3.0,2.5,1880,7838,2.0,0,0,3,1880,0,1994,0,12.644169499451689,28,293
600000.0,3.0,1.75,1880,6360,1.0,0,0,4,1040,840,1945,0,13.304686600863562,130,1573
418000.0,3.0,2.0,1410,6030,1.5,0,0,4,1410,0,1930,0,12.94323910384853,148,1573
